,Symbol,Description,Category2,Category3,GICSSector,MarketCap,DividendYield,Country,Action,InstrumentId
805,VAC,Marriott Vacations Worldwide Corp,Common stocks,Mid cap,Consumer Discretionary,"$5,474,798,688",1.67%,USA,Analyze,b0c6e892-0d6f-4bb6-b617-e13570953cd7
806,M,Macys Inc.,Common stocks,Mid cap,Consumer Discretionary,"$5,463,182,108",3.05%,USA,Analyze,500e9be2-9e0e-4e1d-a6a0-5db42afb7c6e
807,EXEL,Exelixis Inc,Common stocks,Mid cap,Health Care,"$5,454,513,578",0.00%,USA,Analyze,5933a025-9733-462e-a082-db38dd0ca727
808,BPOP,Popular Inc,Common stocks,Mid cap,Financials,"$5,442,785,172",2.88%,USA,Analyze,f91c4a3b-ccd8-4ead-a10a-1873b2d34af0
809,TPX,Tempur Sealy International Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,422,409,340",0.95%,USA,Analyze,4395bde0-ee7a-4327-8e51-c92eee44892d
810,AGNC,AGNC Investment Corp,Mortgage REITs,Mid cap,Financials,"$5,401,823,562",14.33%,USA,Analyze,5dbe8ac1-abd8-44bd-bbdb-c1cd899271ff
811,MSA,MSA Safety Inc,Common stocks,Mid cap,Industrials,"$5,381,933,455",1.30%,USA,Analyze,3e46e87a-e32f-490a-b5d6-4fdc8dd6722e
812,PENN,Penn National Gaming Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,370,174,012",0.00%,USA,Analyze,1a4b88b3-92a7-40e2-99d3-d8083102973d
813,ALGM,"Allegro MicroSystems, Inc.",Common stocks,Mid cap,Information Technology,"$5,368,106,436",0.00%,USA,Analyze,12b77014-8586-4668-9e61-08193baef688
814,HUN,Huntsman Corp,Common stocks,Mid cap,Materials,"$5,326,917,887",2.94%,USA,Analyze,651dfa20-4ca2-4b0b-96d4-d5460a87246f
815,POST,Post Holdings Inc,Common stocks,Mid cap,Consumer Staples,"$5,326,256,031",0.00%,USA,Analyze,524c0cf0-7228-4ae5-ba34-5f1f3f975f04
816,SWCH,"Switch, Inc. Class A",Common stocks,Mid cap,Information Technology,"$5,312,203,420",0.62%,USA,Analyze,08e80319-fd5d-4a76-94ca-fa427a07120e
817,TREX,Trex Inc,Common stocks,Mid cap,Industrials,"$5,278,416,030",0.00%,USA,Analyze,1f85c8b9-d412-4c46-90d1-590ebf6ac3c4
818,DRVN,Driven Brands Holdings Inc.,Common stocks,Mid cap,Industrials,"$5,276,575,561",0.00%,USA,Analyze,309f69f9-00ed-4db8-9131-7e32fe1ad4ff
